cve_ent,cve_ent,cve_ent
2050,2050,1
20501,20501,1
20505,20505,9
20508,20508,1
2051,2051,2
20513,20513,1
20515,20515,40
20517,20517,1
20519,20519,2
2052,2052,1
20524,20524,1
20525,20525,2
20526,20526,2
20530,20530,1
20533,20533,1
20534,20534,3
20536,20536,2
20537,20537,1
20539,20539,5
20540,20540,1
20543,20543,1
20544,20544,1
20545,20545,7
20546,20546,2
20548,20548,2
20549,20549,3
2055,2055,1
20550,20550,4
20551,20551,27
20552,20552,1
20553,20553,2
20555,20555,2
20556,20556,1
20557,20557,10
20559,20559,4
20565,20565,29
20566,20566,1
20567,20567,1
20568,20568,1
2057,2057,18
20570,20570,19
2059,2059,23
206,206,10
2063,2063,11
2064,2064,3
2066,2066,2
2067,2067,489
2068,2068,19
207,207,1
2070,2070,5
2071,2071,1
2072,2072,3
2073,2073,23
2075,2075,1
2076,2076,4
2077,2077,4
2078,2078,2
2079,2079,119
2083,2083,9
2084,2084,6
2086,2086,2
2089,2089,1
209,209,1
2090,2090,3
2091,2091,8
2092,2092,2
21,21,955
211,211,17
2110,2110,18
21100,21100,6
21101,21101,1
21102,21102,10
21103,21103,3
21104,21104,5
21106,21106,29
21107,21107,1
21108,21108,10
21109,21109,4
21110,21110,8
21111,21111,4
21112,21112,2
21113,21113,4
21114,21114,3626
21115,21115,8
21116,21116,1
21117,21117,7
21118,21118,8
21119,21119,138
2112,2112,2
21120,21120,1
21122,21122,11
21123,21123,2
21124,21124,2
21125,21125,9
21126,21126,3
21127,21127,1
21128,21128,5
21129,21129,5
2113,2113,14
21130,21130,2
21132,21132,174
21133,21133,1
21134,21134,13
21135,21135,2
21136,21136,8
21137,21137,5
21138,21138,10
2114,2114,1
21140,21140,141
21142,21142,18
21143,21143,21
21144,21144,5
21146,21146,1
21147,21147,3
21148,21148,8
21149,21149,17
2115,2115,48
21150,21150,1
21151,21151,5
21152,21152,5
21153,21153,11
21154,21154,43
21155,21155,2
21156,21156,377
21157,21157,6
21158,21158,4
21159,21159,5
2116,2116,4
21160,21160,3
21161,21161,13
21163,21163,8
21164,21164,41
21165,21165,1
21166,21166,12
21168,21168,3
21169,21169,14
2117,2117,7
21170,21170,6
21172,21172,4
21173,21173,4
21174,21174,144
21175,21175,8
21176,21176,6
21177,21177,11
21178,21178,4
21179,21179,18
2118,2118,2
21180,21180,32
21181,21181,1
21182,21182,5
21183,21183,3
21184,21184,1
21185,21185,4
21186,21186,35
21187,21187,3
21188,21188,5
21189,21189,5
2119,2119,206
21190,21190,1
21191,21191,9
21192,21192,2
21193,21193,1
21194,21194,9
21196,21196,1
21197,21197,50
21198,21198,1
21199,21199,14
212,212,5
2120,2120,2
21200,21200,1
21201,21201,3
21202,21202,1
21203,21203,2
21204,21204,3
21205,21205,1
21206,21206,1
